ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,23,13,1,1,5578.0,2,1,01/01,12/31
TWDB,2015,5,13,1,1,5451.0,2,1,01/01,12/31
TWDB,2015,19,13,1,1,4567.0,2,1,01/01,12/31
TWDB,2015,20,13,1,1,1.0,2,1,01/01,12/31
TWDB,2015,10,13,1,1,27873.0,2,1,01/01,12/31
TWDB,2015,11,13,1,1,2683.0,2,1,01/01,12/31
TWDB,2015,3,13,1,1,241.0,2,1,01/01,12/31
TWDB,2015,8,13,1,1,5167.0,2,1,01/01,12/31
TWDB,2015,9,13,1,1,3471.0,2,1,01/01,12/31
TWDB,2015,12,14,1,1,93893.0,2,1,01/01,12/31
TWDB,2015,13,14,1,1,20887.0,2,1,01/01,12/31
TWDB,2015,9999,14,1,1,45.0,2,1,01/01,12/31
TWDB,2015,14,14,1,1,14930.0,2,1,01/01,12/31
TWDB,2015,15,14,1,1,25128.0,2,1,01/01,12/31
TWDB,2015,4,14,1,1,2755.0,2,1,01/01,12/31
TWDB,2015,18,14,1,1,8865.0,2,1,01/01,12/31
TWDB,2015,16,14,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,14,1,1,16739.0,2,1,01/01,12/31
TWDB,2015,6,14,1,1,70320.0,2,1,01/01,12/31
TWDB,2015,7,14,1,1,63082.0,2,1,01/01,12/31
TWDB,2015,21,14,1,1,8383.0,2,1,01/01,12/31
TWDB,2015,22,14,1,1,33963.0,2,1,01/01,12/31
TWDB,2015,2,14,1,1,2299.0,2,1,01/01,12/31
TWDB,2015,23,14,1,1,1624.0,2,1,01/01,12/31
TWDB,2015,5,14,1,1,54722.0,2,1,01/01,12/31
TWDB,2015,19,14,1,1,861.0,2,1,01/01,12/31
TWDB,2015,20,14,1,1,2646.0,2,1,01/01,12/31
TWDB,2015,10,14,1,1,105073.0,2,1,01/01,12/31
TWDB,2015,11,14,1,1,125425.0,2,1,01/01,12/31
TWDB,2015,3,14,1,1,37441.0,2,1,01/01,12/31
TWDB,2015,8,14,1,1,37093.0,2,1,01/01,12/31
TWDB,2015,9,14,1,1,95684.0,2,1,01/01,12/31
TWDB,2015,12,15,1,1,3345.0,2,1,01/01,12/31
TWDB,2015,13,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,15,1,1,1561.0,2,1,01/01,12/31
TWDB,2015,14,15,1,1,1664.0,2,1,01/01,12/31
TWDB,2015,15,15,1,1,1384.0,2,1,01/01,12/31
TWDB,2015,4,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,18,15,1,1,1561.0,2,1,01/01,12/31
TWDB,2015,16,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,15,1,1,69.0,2,1,01/01,12/31
TWDB,2015,7,15,1,1,2.0,2,1,01/01,12/31
TWDB,2015,21,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,22,15,1,1,979.0,2,1,01/01,12/31
TWDB,2015,2,15,1,1,1601.0,2,1,01/01,12/31
TWDB,2015,23,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,5,15,1,1,429.0,2,1,01/01,12/31
TWDB,2015,19,15,1,1,717.0,2,1,01/01,12/31
TWDB,2015,20,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,15,1,1,5901.0,2,1,01/01,12/31
TWDB,2015,11,15,1,1,255.0,2,1,01/01,12/31
TWDB,2015,3,15,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,15,1,1,1319.0,2,1,01/01,12/31
TWDB,2015,9,15,1,1,942.0,2,1,01/01,12/31
TWDB,2015,12,7,1,1,9109.0,2,1,01/01,12/31
TWDB,2015,13,7,1,1,2.0,2,1,01/01,12/31
TWDB,2015,9999,7,1,1,886.0,2,1,01/01,12/31
TWDB,2015,14,7,1,1,41031.0,2,1,01/01,12/31
TWDB,2015,15,7,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,7,1,1,46.0,2,1,01/01,12/31
TWDB,2015,18,7,1,1,9961.0,2,1,01/01,12/31
TWDB,2015,16,7,1,1,922.0,2,1,01/01,12/31
TWDB,2015,17,7,1,1,3.0,2,1,01/01,12/31
TWDB,2015,6,7,1,1,1097.0,2,1,01/01,12/31
TWDB,2015,7,7,1,1,14.0,2,1,01/01,12/31
TWDB,2015,21,7,1,1,25507.0,2,1,01/01,12/31
TWDB,2015,22,7,1,1,1080.0,2,1,01/01,12/31
TWDB,2015,2,7,1,1,445.0,2,1,01/01,12/31
