ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,10,1,8,1,1,,,
TWDB,2015,11,1,8,1,1,,,
TWDB,2015,3,1,8,1,1,,,
TWDB,2015,8,1,8,1,1,,,
TWDB,2015,9,1,8,1,1,,,
TWDB,2015,12,1,9,1,1,,,
TWDB,2015,13,1,9,1,1,,,
TWDB,2015,9999,1,9,1,1,,,
TWDB,2015,14,1,9,1,1,,,
TWDB,2015,15,1,9,1,1,,,
TWDB,2015,4,1,9,1,1,,,
TWDB,2015,18,1,9,1,1,,,
TWDB,2015,16,1,9,1,1,,,
TWDB,2015,17,1,9,1,1,,,
TWDB,2015,6,1,9,1,1,,,
TWDB,2015,7,1,9,1,1,,,
TWDB,2015,21,1,9,1,1,,,
TWDB,2015,22,1,9,1,1,,,
TWDB,2015,2,1,9,1,1,,,
TWDB,2015,23,1,9,1,1,,,
TWDB,2015,5,1,9,1,1,,,
TWDB,2015,19,1,9,1,1,,,
TWDB,2015,20,1,9,1,1,,,
TWDB,2015,10,1,9,1,1,,,
TWDB,2015,11,1,9,1,1,,,
TWDB,2015,3,1,9,1,1,,,
TWDB,2015,8,1,9,1,1,,,
TWDB,2015,9,1,9,1,1,,,
TWDB,2015,12,1,10,1,1,,,
TWDB,2015,13,1,10,1,1,,,
TWDB,2015,9999,1,10,1,1,,,
TWDB,2015,14,1,10,1,1,,,
TWDB,2015,15,1,10,1,1,,,
TWDB,2015,4,1,10,1,1,,,
TWDB,2015,18,1,10,1,1,,,
TWDB,2015,16,1,10,1,1,,,
TWDB,2015,17,1,10,1,1,,,
TWDB,2015,6,1,10,1,1,,,
TWDB,2015,7,1,10,1,1,,,
TWDB,2015,21,1,10,1,1,,,
TWDB,2015,22,1,10,1,1,,,
TWDB,2015,2,1,10,1,1,,,
TWDB,2015,23,1,10,1,1,,,
TWDB,2015,5,1,10,1,1,,,
TWDB,2015,19,1,10,1,1,,,
TWDB,2015,20,1,10,1,1,,,
TWDB,2015,10,1,10,1,1,,,
TWDB,2015,11,1,10,1,1,,,
TWDB,2015,3,1,10,1,1,,,
TWDB,2015,8,1,10,1,1,,,
TWDB,2015,9,1,10,1,1,,,
TWDB,2015,12,1,11,1,1,,,
TWDB,2015,13,1,11,1,1,,,
TWDB,2015,9999,1,11,1,1,,,
TWDB,2015,14,1,11,1,1,,,
TWDB,2015,15,1,11,1,1,,,
TWDB,2015,4,1,11,1,1,,,
TWDB,2015,18,1,11,1,1,,,
TWDB,2015,16,1,11,1,1,,,
TWDB,2015,17,1,11,1,1,,,
TWDB,2015,6,1,11,1,1,,,
TWDB,2015,7,1,11,1,1,,,
TWDB,2015,21,1,11,1,1,,,
TWDB,2015,22,1,11,1,1,,,
TWDB,2015,2,1,11,1,1,,,
TWDB,2015,23,1,11,1,1,,,
TWDB,2015,5,1,11,1,1,,,
TWDB,2015,19,1,11,1,1,,,
TWDB,2015,20,1,11,1,1,,,
TWDB,2015,10,1,11,1,1,,,
TWDB,2015,11,1,11,1,1,,,
TWDB,2015,3,1,11,1,1,,,
TWDB,2015,8,1,11,1,1,,,
TWDB,2015,9,1,11,1,1,,,
TWDB,2015,12,1,12,1,1,,,
TWDB,2015,13,1,12,1,1,,,
TWDB,2015,9999,1,12,1,1,,,
TWDB,2015,14,1,12,1,1,,,
TWDB,2015,15,1,12,1,1,,,
TWDB,2015,4,1,12,1,1,,,
TWDB,2015,18,1,12,1,1,,,
TWDB,2015,16,1,12,1,1,,,
TWDB,2015,17,1,12,1,1,,,
TWDB,2015,6,1,12,1,1,,,
TWDB,2015,7,1,12,1,1,,,
TWDB,2015,21,1,12,1,1,,,
TWDB,2015,22,1,12,1,1,,,
TWDB,2015,2,1,12,1,1,,,
TWDB,2015,23,1,12,1,1,,,
TWDB,2015,5,1,12,1,1,,,
TWDB,2015,19,1,12,1,1,,,
TWDB,2015,20,1,12,1,1,,,
